法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置
臺灣嘉義地方法院,091法登他29,52,變更登記,財團法人臺灣省嘉義市先天玉虛宮,091/06/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZ5AAB&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000029&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAMZ5AAB.json
臺灣嘉義地方法院,091法登他30,248,變更登記,財團法人竹崎文化藝術基金會,091/06/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaFAAH&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000030&ef=CYD&fg=1,output/details/CYD/AAH/AAAdkxAAHAAAMaFAAH.json
臺灣嘉義地方法院,091法登他31,252,變更登記,財團法人陳秀鑾教育基金會,091/06/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMY5AAC&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000031&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMY5AAC.json
臺灣嘉義地方法院,091法登他32,259,變更登記,財團法人新港國小教育基金會,091/06/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMY5AAD&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000032&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAMY5AAD.json
臺灣嘉義地方法院,091法登他33,225,變更登記,財團法人天主教聖馬爾定醫院,091/06/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMY5AAE&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000033&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAMY5AAE.json
臺灣嘉義地方法院,091法登他34,228,變更登記,財團法人嘉義市教育會教育事務基金會,091/07/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMY5AAF&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000034&ef=CYD&fg=1,output/details/CYD/AAF/AAAdkxAAHAAAMY5AAF.json
臺灣嘉義地方法院,091法登他35,72,變更登記,財團法人台灣省嘉義縣私立嘉南高級中學,091/07/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMY9AAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000035&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAMY9AAA.json
臺灣嘉義地方法院,091法登他36,131,變更登記,財團法人中正大學學術基金會,091/07/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYqAAB&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000036&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAMYqAAB.json
臺灣嘉義地方法院,091法登他37,84,變更登記,財團法人台灣省嘉義市大天宮,091/07/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZRAAD&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000037&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAMZRAAD.json
臺灣嘉義地方法院,091法登他38,236,變更登記,財團法人若竹兒教育基金會,091/07/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZRAAE&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000038&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAMZRAAE.json
臺灣嘉義地方法院,091法登他39,241,變更登記,財團法人慈輝教育基金會,091/07/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZtAAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000039&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAMZtAAA.json
臺灣嘉義地方法院,091法登他40,102,變更登記,財團法人嘉義後備軍人（子女）獎學金文教基金會,091/08/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZtAAB&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000040&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAMZtAAB.json
臺灣嘉義地方法院,091法登他41,250,變更登記,財團法人陳澄波文化基金會,091/08/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZ5AAC&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000041&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMZ5AAC.json
臺灣嘉義地方法院,091法登他42,61,變更登記,財團法人台灣省嘉義市私立立仁女子高級工商職業學校,091/08/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMY9AAC&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000042&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMY9AAC.json
臺灣嘉義地方法院,091法登他43,60,變更登記,財團法人台灣省私立嘉義濟美仁愛之家,091/08/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMY9AAD&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000043&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAMY9AAD.json
臺灣嘉義地方法院,091法登他44,193,變更登記,財團法人嘉義市私立榮光幼稚園,091/09/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMY9AAE&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000044&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAMY9AAE.json
臺灣嘉義地方法院,091法登他45,100,變更登記,財團法人滿榮醫護基金會,091/09/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZBAAA&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000045&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAMZBAAA.json
臺灣嘉義地方法院,091法登他46,83,變更登記,財團法人台灣省嘉義縣新港奉天宮,091/09/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZFAAC&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000046&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMZFAAC.json
臺灣嘉義地方法院,091法登他47,256,變更登記,財團法人林秀芳教育事務基金會,091/09/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYUAAC&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000047&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAMYUAAC.json
臺灣嘉義地方法院,091法登他48,48,變更登記,財團法人嘉義教會聚會所,091/09/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMYUAAD&bc=091&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000048&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAMYUAAD.json
