法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,
臺灣臺南地方法院,053法登41,41,設立登記,財團法人台灣省台南市天主教鮑思高慈幼會,053/07/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMalAAB&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000041&ef=TND&fg=1,
臺灣臺南地方法院,053法登42,42,設立登記,財團法人台灣省台南市慈幼初級中學董事會,053/09/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMalAAC&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000042&ef=TND&fg=1,
臺灣臺南地方法院,053法登43,43,設立登記,財團法人台灣省台南市保安宮,053/10/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMalAAD&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000043&ef=TND&fg=1,
臺灣臺南地方法院,054法登6,6,變更登記,財團法人南部台灣基督長老教會,054/04/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbsAAC&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=TND&fg=1,
臺灣臺南地方法院,054法登44,44,設立登記,財團法人台灣省台南縣新營基督教福音堂,054/01/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMarAAC&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000044&ef=TND&fg=1,
臺灣臺南地方法院,054法登45,45,設立登記,財團法人台南市私立聖功女子初級中學董事會,054/04/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMatAAC&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000045&ef=TND&fg=1,
臺灣臺南地方法院,054法登46,46,設立登記,財團法人台灣省台南市台南基督教會,054/04/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMatAAD&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000046&ef=TND&fg=1,
臺灣臺南地方法院,054法登47,47,設立登記,財團法人台灣省台南縣私立黎明初級中學董事會,054/08/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMatAAE&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000047&ef=TND&fg=1,
臺灣臺南地方法院,054法登48,48,設立登記,財團法人私立崑山工業專科學校董事會,054/09/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMatAAF&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000048&ef=TND&fg=1,
臺灣臺南地方法院,054法登49,49,設立登記,財團法人私立嘉南藥學專科學校董事會,054/12/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaWAAI&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000049&ef=TND&fg=1,
